level,CEFR,主題,english_word,KK音標,中譯,例句,翻譯,例句2,翻譯2,Year_1,Part_1,Source_1,詞性,詞性變化,片語,同義字,反義字,易混淆字,字首,字尾,字根,意思,例子
1,A2,氣候,nature,/ˋnetʃɚ/,(n.) 自然；天性；本質,We should appreciate the beauty of nature and work to protect our environment.,我們應該欣賞大自然的美，並努力保護我們的環境。,"Racist remarks are by nature offensive and hurtful, and should be avoided on all occasions.",帶有種族歧視的言論本質上具有攻擊性和傷害性，應避免在任何場合使用。,114學測,詞彙題,Question 4,名詞,名詞: 不可數,by nature; in nature,environment (n.); wildlife (n.); outdoors (n.),civilization (n.); urban life (n.),mature (adj./v.); feature (n.),,,,,
1,A1,氣候,rain,/ren/,(n./v.) 雨；雨水 (不可數),Heavy rain caused floods in the area last night.,昨晚的大雨導致該地區發生洪水。,"With their plan disrupted by the rain, the two dozen participants squeezed into the living room.",由於計畫被雨水打亂，二十幾位參與者擠進了客廳。,114學測,綜合測驗,Passage for Q11-15,名詞；動詞,"名詞: 不可數
動詞: 過去式: rained; 過去分詞: rained; 現在分詞: raining; 第三人稱: rains",rain cats and dogs; rain or shine,shower (n./v.); downpour (n.); drizzle (n./v.),drought (n.); dry spell (n.),reign (n./v.); rein (n.); vain (adj.),,,,,
1,A1,氣候,river,/ˋrɪvɚ/,(n.) 河流,The Taipei City runs along the Tamsui River.,台北市沿著淡水河延伸。,The new expansion is composed of five themed splash pads and a River Boat Adventure Ride.,新的擴建包括五個主題戲水區和一條河上船隻冒險遊樂設施。,110學測,閱讀測驗-文本,Passage for 53-56,名詞,名詞: 可數；複數: rivers,sell down the river,stream (n.); watercourse (n.); brook (n.),desert (n.); dry channel (n.),liver (n.); shiver (v./n.),,,,,
1,A1,氣候,sea,/si/,(n.) 海；海洋,We spent the whole afternoon swimming in the clear blue sea.,我們整個下午都在清澈蔚藍的大海中游泳。,"In 1498, Portuguese explorer Vasco da Gama made the first sea voyage to India, via the southernmost tip of Africa.",1498年，葡萄牙探險家瓦斯科．達．伽馬首次經由非洲最南端的海路前往印度。,112學測,閱讀測驗-文本,Passage for 43-46,名詞,名詞: 可數；複數: seas,at sea; by sea,ocean (n.); deep (n.); blue (n./adj.),land (n.); inland (adj./n.),see (v.); C (n.),,,,,
1,B1,氣候,season,/ˋsizn/,(n.) 季節,Autumn is my favorite season because the weather is cool and leaves change color.,秋天是我最喜歡的季節，因為天氣涼爽，樹葉會變色。,"Finally, as predicted, snakes captured during the dry season contained significantly less body water than those scooped up in the rainy season.",最後，正如預測的那樣，在乾季捕獲的蛇體內水分明顯少於在雨季捕獲的蛇。,105學測,閱讀測驗-文本,Passage for Questions 53-56,名詞,名詞: 可數；複數: seasons,in season; out of season,period (n.); quarter (n.); time of year (n.),timelessness (n.); unchanging period (n.),reason (n.); treason (n.),,,,,
1,A2,氣候,sky,/skaɪ/,(n.) 天空,"The sky was clear blue, without a single cloud.",天空一片湛藍，沒有一朵雲。,"When subjected to repeated pressurization high in the sky, the four corners on a square window may spell disaster.",當方形窗戶在高空反覆承受加壓時，它的四個角可能會釀成災難。,111學測,綜合測驗,Passage for 16-20,名詞,名詞: 可數；複數: skies,the sky is the limit; out of a clear blue sky,heavens (n.); firmament (n.); blue (n.),earth (n.); ground (n.),ski (n./v.); shy (adj.),,,,,
1,A1,氣候,snow,/sno/,(n./v.) 雪 (不可數),It started to snow heavily early this morning.,今天清晨開始下大雪。,"After the first snow of the year, the entire grassland disappeared under a blanket of snow.",下過今年第一場雪後，整片草地都消失在雪毯之下。,107學測,詞彙題,Question 11,名詞；動詞,"名詞: 不可數
動詞: 過去式: snowed; 過去分詞: snowed; 現在分詞: snowing; 第三人稱: snows",be snowed under,flurry (n.); powder (n.); blizzard (n.),thaw (n./v.); heatwave (n.),know (v.); show (v./n.); slow (adj.),,,,,
1,A2,氣候,spring,/sprɪŋ/,(n./v.) 春天；泉水；彈簧,"In spring, flowers bloom and the weather gets warmer every day.",春天時，花朵盛開，天氣也每天變得暖和。,"With pink cherry blossoms blooming everywhere, the valley blushes like a young bride under the bright spring sunshine.",粉紅色的櫻花處處綻放，山谷在明媚的春陽下，猶如一位年輕的新娘，面泛紅暈。,111學測,詞彙題,Question 10,名詞；動詞,"名詞: 可數；複數: springs
動詞: 過去式: sprang/sprung; 過去分詞: sprung; 現在分詞: springing; 第三人稱: springs",spring up; spring into action,springtime (n.); fountain (n.); coil (n.),autumn (n.); winter (n.),string (n.); bring (v.); sing (v.),,,,,
1,A1,氣候,sun,/sʌn/,(n./v.) 太陽,The sun rises in the east and sets in the west every day.,太陽每天從東方升起，從西方落下。,Watching the sun emerging from a sea of clouds is a must-do activity for all visitors to Ali Mountain.,在阿里山欣賞從雲海中升起的日出，是所有造訪旅客的必做之事。,113學測,詞彙題,Question 2,名詞；動詞,"名詞: 可數；複數: suns
動詞: 過去式: sunned; 過去分詞: sunned; 現在分詞: sunning; 第三人稱: suns",under the sun,star (n.); daystar (n.); sunlight (n.),moon (n.); darkness (n.),son (n.); fun (n.); run (v./n.),,,,,
1,A1,氣候,warm,/wɔrm/,(adj./v.) 溫暖的；熱情的,The warm sunshine felt so good after the cold winter.,寒冷的冬天過後，溫暖的陽光感覺真好。,"Situated off the coast of Tanzania and washed by the warm, clean waters of the Indian Ocean, Zanzibar is a tropical archipelago comprised of several scattered islands.",位於坦尚尼亞海岸外，並被溫暖、潔淨的印度洋海水沖刷著，尚西巴是一個由數個分散島嶼組成的熱帶群島。,112學測,閱讀測驗-文本,Passage for 43-46,形容詞；動詞,"形容詞: 比較級: warmer; 最高級: warmest
動詞: 過去式: warmed; 過去分詞: warmed; 現在分詞: warming; 第三人稱: warms",warm up; warm to,balmy (adj.); mild (adj.); toasty (adj.),cold (adj.); chilly (adj.),worm (n.); form (n./v.); warn (v.),,,,,
1,A1,氣候,water,/ˋwɔtɚ/,(n./v.) 水 (不可數),"Don't forget to drink plenty of water, especially on hot days.",別忘了多喝水，尤其是在炎熱的日子裡。,This means that no increased competition arises for the water or land presently used for food production.,這意味著不會增加對目前用於糧食生產的水或土地的競爭。,110學測,閱讀測驗-文本,Passage for 41-44,名詞；動詞,"名詞: 不可數
動詞: 過去式: watered; 過去分詞: watered; 現在分詞: watering; 第三人稱: waters",water down; in hot water; hold water,liquid (n.); aqua (n.),dryness (n.); dehydration (n.),waiter (n.); later (adv.),,,,,
1,A1,氣候,weather,/ˋwɛðɚ/,(n./v.) 天氣 (不可數),The weather forecast says it will be sunny and warm tomorrow.,天氣預報說明天會是晴朗溫暖的。,Accordingly many people believe that bad weather can reduce productivity and efficiency.,因此，許多人認為壞天氣會降低生產力和效率。,106學測,綜合測驗,Passage for Q26-30,名詞；動詞,"名詞: 不可數
動詞: 過去式: weathered; 過去分詞: weathered; 現在分詞: weathering; 第三人稱: weathers",under the weather; weather the storm,climate (n.); conditions (n.); forecast (n.),calm (n./adj.); steadiness (n.),whether (conj.); wether (n.),,,,,
1,A1,氣候,wind,/wɪnd/,(n./v.) 風,The strong wind blew my hat off my head.,大風把我的帽子從頭上吹走了。,Phones resembling the wind phone have since been built around the world.,此後，類似風之電話的電話亭已在世界各地建造。,113學測,文意選填,Passage for 21-30,名詞；動詞,"名詞: 可數；複數: winds
動詞: 過去式: wound; 過去分詞: wound; 現在分詞: winding; 第三人稱: winds",wind up; wind down; get wind of,breeze (n.); gust (n.); air current (n.),calm (n./adj.); still air (n.),mind (n.); wined (v.),,,,,
2,B1,氣候,climate,/ˋklaɪmɪt/,(n.) 氣候,The climate in Taiwan is generally warm and humid.,台灣的氣候通常溫暖潮濕。,Tropical infections are thus as much related to government inaction as they are to climate.,因此，熱帶感染與政府的不作為關係密切，與氣候的關係也一樣。,107學測,閱讀測驗-文本,Passage for Q45-48,名詞,名詞: 可數；複數: climates,,clime (n.); weather pattern (n.); atmosphere (n.),instability (n.); chaos (n.),climax (n.); intimate (adj./v.),,,,,
2,A2,氣候,desert,/dɪˋzɝt/,(n./v.) 沙漠,Camels can travel for days across the hot desert without water.,駱駝可以在炎熱的沙漠中行進數日而無需飲水。,The ocean is like a desert to them since they don't drink seawater.,海洋對牠們來說就像沙漠，因為牠們不喝海水。,105學測,閱讀測驗-答案選項,Question 54,名詞；動詞,"名詞: 可數；複數: deserts
動詞: 過去式: deserted; 過去分詞: deserted; 現在分詞: deserting; 第三人稱: deserts",,wasteland (n.); dunes (n.); arid land (n.),oasis (n.); wetland (n.),dessert (n.),,,,,
2,B1,氣候,energy,/ˋɛnɚdʒɪ/,(n.) 能量；精力,"After a good night's sleep, I felt full of energy.",睡了個好覺之後，我感覺精力充沛。,"Then, a local green energy startup company got the idea to turn that waste into energy.",然後，一家當地綠色能源新創公司產生了將這些廢棄物轉化為能源的想法。,110學測,閱讀測驗-文本,Passage for 41-44,名詞,名詞: 可數；複數: energies,,power (n.); vigor (n.); strength (n.),fatigue (n.); exhaustion (n.),enemy (n.),en-,-y,,cause to; put into (使成為；放入),"enrich (豐富), enable (使能夠), enlighten (啟發)"
2,B1,氣候,environment,/ɪnˋvaɪrənmənt/,(n.) 環境,We should protect our environment for future generations.,我們應該為子孫後代保護我們的環境。,"They grade and report on the quality of products, customer service, and environment of the stores to which they are assigned.",他們對被指派商店的產品品質、顧客服務和環境進行評分並提交報告。,113學測,綜合測驗,Passage for 11-15,名詞,名詞: 可數；複數: environments,,surroundings (n.); habitat (n.); setting (n.),void (n.); emptiness (n.),environ (v.),en-,-ment,,cause to; put into (使成為；放入),"enrich (豐富), enable (使能夠), enlighten (啟發)"
2,A2,氣候,fog,/fok/,(n./v.) 霧,Driving in the heavy fog was very dangerous.,在濃霧中開車非常危險。,"Once the pests detect the chemical fog in the room, they'll hide themselves in walls or other hideaways, where you'll never be able to treat them effectively.",一旦害蟲偵測到房間裡的化學煙霧，它們就會躲到牆壁或其他藏身處，在那裡你將永遠無法有效處理它們。,108學測,閱讀測驗-文本,Passage for Q53-56,名詞；動詞,"名詞: 可數／不可數；複數: fogs
動詞: 過去式: fogged; 過去分詞: fogged; 現在分詞: fogging; 第三人稱: fogs",in a fog; fog up,mist (n.); haze (n.); smog (n.),clarity (n.); clearness (n.),dog (n.); frog (n.); log (n.),,,,,
2,A2,氣候,forest,/fɚˋgɪv/,(n.) 森林,"Many animals live deep in the forest, far from human towns.",許多動物住在森林深處，遠離人類城鎮。,That's why he did not allow fallen leaves or twigs from the forest to be removed.,這就是為什麼他不允許移除森林中的落葉或枯枝。,105學測,文意選填,Passage for Questions 31-40,名詞,名詞: 可數；複數: forests,,woods (n.); woodland (n.); jungle (n.),plain (n.); grassland (n.),forehead (n.); forecast (n./v.),,,,,
2,A2,氣候,ocean,/ˋɔfɚ/,(n.) 海洋,The vast ocean is home to millions of different marine species.,廣闊的海洋是數百萬種不同海洋物種的家園。,"Situated off the coast of Tanzania and washed by the warm, clean waters of the Indian Ocean, Zanzibar is a tropical archipelago comprised of several scattered islands.",位於坦尚尼亞海岸外，並被溫暖、潔淨的印度洋海水沖刷著，尚西巴是一個由數個分散島嶼組成的熱帶群島。,112學測,閱讀測驗-文本,Passage for 43-46,名詞,名詞: 可數；複數: oceans,,sea (n.); open water (n.); blue (n.),land (n.); continent (n.),lotion (n.); motion (n.),,,,,
2,B1,氣候,shore,/ʃɑt/,(n.) 岸；濱,"We walked along the sandy shore, collecting seashells and driftwood.",我們沿著沙岸散步，撿拾著海螺和浮木。,,,,,,名詞,名詞: 可數；複數: shores,,coast (n.); beach (n.); seaside (n.),inland (adj./n.); open sea (n.),short (adj.); store (n./v.); share (v./n.),,,,,
2,B2,氣候,soil,/səˋluʃən/,(n.) 土壤,Good soil is essential for plants to grow strong and healthy.,良好的土壤對於植物茁壯成長至關重要。,But he simply ignored them and kept working on the soil and planting trees there.,但他只是不理會他們，繼續改良土壤並在那裡種樹。,105學測,文意選填,Passage for Questions 31-40,名詞,名詞: 可數／不可數；複數: soils,,earth (n.); dirt (n.); loam (n.),bedrock (n.); rock (n.),boil (v./n.); coil (n./v.); toil (n./v.),,,,,
2,A2,氣候,storm,/ˋstrendʒɚ/,(n./v.) 暴風雨,A sudden storm forced us to cancel our outdoor picnic.,一場突如其來的暴風雨迫使我們取消了戶外野餐。,A storm cloud “chased” him until he was struck.,一片暴風雲「追」著他，直到他被擊中。,110學測,綜合測驗,Passage for 21-25,名詞；動詞,"名詞: 可數；複數: storms
動詞: 過去式: stormed; 過去分詞: stormed; 現在分詞: storming; 第三人稱: storms",weather the storm; storm out; take by storm,tempest (n.); squall (n.); cyclone (n.),calm (n./adj.); peace (n.),form (n./v.); dorm (n.); worm (n.),,,,,
2,,氣候,temperature,/tɝm/,(n.) 溫度；體溫,"The temperature dropped significantly overnight, so remember to wear warm clothes.",氣溫在一夜之間顯著下降，所以記得穿暖和的衣服。,The study warned that Papua's glaciers are only the “first to go” if greenhouse gases are left unchecked and temperatures continue rising.,該研究警告說，如果溫室氣體不加以控制且氣溫持續上升，巴布亞的冰川將只是「第一個消失」的。,110學測,綜合測驗,Passage for 26-30,名詞,名詞: 可數；複數: temperatures,,heat (n.); warmth (n.); degree (n.),cold (n.); coolness (n.),temperate (adj.); temperament (n.),,-ature,,state or condition of (…的狀態),"temperature (溫度), legislature (立法機構), signature (簽名)"
2,A3,氣候,typhoon,/ˋʌglɪ/,(n.) 颱風,"Last night, a strong typhoon brought heavy rain and powerful winds to the entire island.",昨晚，一場強颱風為整個島嶼帶來了暴雨和強風。,"One week after the typhoon, some bridges were finally opened and bus service resumed in the country's most severely damaged areas.",颱風過後一周，一些橋樑終於重新開放，該國受災最嚴重的地區恢復了公車服務。,110學測,詞彙題,Question 15,名詞,名詞: 可數；複數: typhoons,,cyclone (n.); hurricane (n.); storm (n.),calm (n.); stillness (n.),tycoon (n.),,,,,
2,A2,氣候,wood(s),/wʊl/,(n.) 木頭；樹林,"The house was made of dark, sturdy wood.",這房子是用深色堅固的木頭建造的。,"One fine morning in 1941, Swiss engineer George de Mestral went for a walk in the woods with his dog.",在1941年一個美好的早晨，瑞士工程師喬治．德．梅斯楚爾帶著他的狗在樹林裡散步。,113學測,閱讀測驗-文本,Passage for 35-38,名詞,名詞: 單數: wood; 複數: woods,,forest (n.); timber (n.); woodland (n.),desert (n.); treeless plain (n.),would (aux.); good (adj.); hood (n.),,-s,,plural marker (複數標記),"woods (樹林), clouds (雲), rivers (河流)"
3,B2,氣候,beam,/bim/,(n./v.) 光束；樑,A strong beam of light shone through the window.,一束強光透過窗戶射進來。,"The clouds parted and a beam of light fell on the church, through the windows, and onto the floor.",雲層散開，一道光線落在教堂上，穿過窗戶，照在地面。,106學測,詞彙題,Question 10,名詞；動詞,"名詞: 可數；複數: beams
動詞: 過去式: beamed; 過去分詞: beamed; 現在分詞: beaming; 第三人稱: beams",,ray (n.); shaft (n.); gleam (n.),shadow (n.); darkness (n.),dream (n./v.); cream (n.); steam (n.),,,,,
3,B1,氣候,breeze,/briz/,(n./v.) 微風,A gentle breeze rustled the leaves on the trees.,一陣微風吹動樹上的葉子沙沙作響。,,,,,,名詞；動詞,"名詞: 可數；複數: breezes
動詞: 過去式: breezed; 過去分詞: breezed; 現在分詞: breezing; 第三人稱: breezes",,zephyr (n.); light wind (n.); draft (n.),stillness (n.); stagnant air (n.),freeze (v.); sneeze (v./n.),,,,,
3,B1,氣候,dirt,/dɝt/,(n.) 泥土；汙垢,"After playing outside, his hands were covered in dirt.",在外面玩耍後，他的手沾滿了泥土。,,,,,,名詞,名詞: 不可數,,soil (n.); filth (n.); grime (n.),purity (n.); cleanliness (n.),shirt (n.); skirt (n.),,,,,
3,B1,氣候,flood,/flʌd/,(n./v.) 洪水；水災,The heavy rain caused a terrible flood in the village.,大雨導致村莊發生嚴重的洪水。,The recent flood completely ruined my parents' farm.,最近的洪水徹底摧毀了我父母的農場。,105學測,詞彙題,Question 13,名詞；動詞,"名詞: 可數；複數: floods
動詞: 過去式: flooded; 過去分詞: flooded; 現在分詞: flooding; 第三人稱: floods",,deluge (n./v.); inundation (n.); overflow (n./v.),drought (n.); dry spell (n.),blood (n.); food (n.); mood (n.),,,,,
3,B1,氣候,fountain,/ˋfaʊntɪn/,(n.) 噴泉；噴水池；源頭,Children love to play around the fountain in the park.,孩子們喜歡在公園的噴泉周圍玩耍。,"In fact, a visit to a major European city just would not be the same without encountering them: bathing in fountains, perching on historic buildings, and flocking in public squares.",事實上，如果沒有遇到牠們：在噴泉中洗澡、棲息在歷史建築物上，以及成群地聚集在公共廣場上，一次主要歐洲城市的訪問就不會是完整的。,110學測,綜合測驗,Passage for 16-20,名詞,名詞: 可數；複數: fountains,,spring (n.); jet (n.); water source (n.),dry well (n.); empty basin (n.),mountain (n.); maintain (v.),,-ain,,person or thing related to (與…相關的人或物),"mountain (山), captain (隊長), fountain (噴泉)"
3,B2,氣候,global,/ˋglob!/,(adj.) 全球的；全世界的,Climate change is a global problem that affects everyone on Earth.,氣候變遷是一個影響地球上每個人的全球性問題。,"Global sales of hard hats totaled USD 2.1 billion in 2016, and are expected to reach USD 3.19 billion in 2025.",全球安全帽的銷售額在 2016 年達到 21 億美元，預計在 2025 年將達到 31.9 億美元。,111學測,閱讀測驗-文本,Passage for 39-42,形容詞,形容詞: 比較級: more global; 最高級: most global,,worldwide (adj.); planetary (adj.); international (adj.),local (adj.); regional (adj.),local (adj.); vocal (adj.),,-al,,relating to; having the quality of (與…相關；具有…特質),"global (全球的), seasonal (季節性的), coastal (沿海的)"
3,,氣候,greenhouse,/ˋgrin͵haʊs/,(n.) 溫室；暖房,My grandmother grows beautiful orchids in her greenhouse.,我奶奶在她的溫室裡種植美麗的蘭花。,The study warned that Papua's glaciers are only the “first to go” if greenhouse gases are left unchecked and temperatures continue rising.,該研究警告說，如果溫室氣體不加以控制且氣溫持續上升，巴布亞的冰川將只是「第一個消失」的。,110學測,綜合測驗,Passage for 26-30,名詞,名詞: 可數；複數: greenhouses,,glasshouse (n.); nursery (n.); hothouse (n.),open field (n.); outdoor space (n.),green (adj./n.); house (n.),,,,,
3,B1,氣候,icy,/ˋaɪsɪ/,(adj.) 冰冷的；結冰的；冰封的,The icy wind bit into our faces as we walked home.,當我們走回家時，冰冷的風刺痛著我們的臉。,,,,,,形容詞,形容詞: 比較級: icier; 最高級: iciest,,frozen (adj.); glacial (adj.); frosty (adj.),warm (adj.); balmy (adj.),ivy (n.),,-y,,characterized by; full of (具有…性質),"windy (多風的), rainy (多雨的), energy (能量)"
3,B2,氣候,melt,/mɛlt/,(v.) （使）融化；（使）熔化,The ice cream started to melt quickly in the hot summer sun.,冰淇淋在炎熱的夏日陽光下迅速融化。,The electrical shock burned almost half of his body and melted layers of his skin off.,電擊燒傷了他身體近一半的面積，並融化了他好幾層皮膚。,113學測,閱讀測驗-文本,Passage for 43-46,動詞,動詞: 過去式: melted; 過去分詞: melted; 現在分詞: melting; 第三人稱: melts,melt away; melt down,thaw (v.); dissolve (v.); liquefy (v.),freeze (v.); solidify (v.),belt (n.); felt (n./v.),,,,,
3,B2,氣候,mist,/mɪst/,(n./v.) 薄霧；水氣,"A thick mist covered the city early in the morning, reducing visibility.",清晨厚厚的薄霧籠罩著城市，降低了能見度。,"Moreover, bugs that do come in contact with the mist may be resistant to the pesticide.",此外，接觸到煙霧的蟲子可能對殺蟲劑產生抗藥性。,108學測,閱讀測驗-文本,Passage for Q53-56,名詞；動詞,"名詞: 可數／不可數；複數: mists
動詞: 過去式: misted; 過去分詞: misted; 現在分詞: misting; 第三人稱: mists",,fog (n.); haze (n.); spray (n.),clarity (n.); transparency (n.),list (n./v.); fist (n.); miss (v./n.),,,,,
3,B1,氣候,pollution,/pəˋluʃən/,(n.) 污染,Air pollution is a major problem in many industrial cities.,空氣污染是許多工業城市的一大問題。,"In line with the worldwide green movement, carmakers have been working hard to make their new models more environmentally friendly to reduce pollution.",為響應全球環保運動，汽車製造商一直努力使其新款車型更環保以減少污染。,105學測,詞彙題,Question 15,名詞,名詞: 不可數,,contamination (n.); defilement (n.); smog (n.),purification (n.); cleanliness (n.),solution (n.); evolution (n.),,-ion,,"act, condition, or result (…的行動／狀態)","emission (排放), erosion (侵蝕), pollution (污染)"
3,C2,氣候,timber,/ˋtɪmbɚ/,(n.) 木材；木料,They cut down trees to get timber for building houses.,他們砍伐樹木，獲取木材來建造房屋。,,,,,,名詞,名詞: 不可數；集合用法複數: timbers,,lumber (n.); wood (n.); logs (n.),steel (n.); metal (n.),ember (n.); number (n.),,,,,
3,B2,氣候,tropical,/ˋtrɑpɪk!/,(adj.) 熱帶的,Tropical fruits like mangoes and papayas grow well in hot climates.,芒果和木瓜等熱帶水果在炎熱氣候下生長良好。,"Situated off the coast of Tanzania and washed by the warm, clean waters of the Indian Ocean, Zanzibar is a tropical archipelago comprised of several scattered islands.",位於坦尚尼亞海岸外，並被溫暖、潔淨的印度洋海水沖刷著，尚西巴是一個由數個分散島嶼組成的熱帶群島。,112學測,閱讀測驗-文本,Passage for 43-46,形容詞,形容詞: 比較級: more tropical; 最高級: most tropical,,equatorial (adj.); balmy (adj.); humid (adj.),polar (adj.); arctic (adj.),topical (adj.); typical (adj.),,-al,,relating to; having the quality of (與…相關；具有…特質),"global (全球的), seasonal (季節性的), coastal (沿海的)"
4,B1,氣候,atmosphere,/ˋætməs͵fɪr/,(n.) 大氣；氣氛,The restaurant had a cozy and friendly atmosphere.,這家餐廳有溫馨友善的氣氛。,,,,,,名詞,名詞: 可數；複數: atmospheres,,air (n.); aura (n.); climate (n.),vacuum (n.); void (n.),sphere (n.); hemisphere (n.),,,,,
4,B2,氣候,frost,/frɑst/,(n./v.) 霜,There was a thick layer of frost on the car windows this morning.,今天早上車窗上結了厚厚一層霜。,,,,,,名詞；動詞,"名詞: 可數／不可數；複數: frosts
動詞: 過去式: frosted; 過去分詞: frosted; 現在分詞: frosting; 第三人稱: frosts",frost over,rime (n.); hoarfrost (n.); ice (n.),thaw (n./v.); melt (v.),cost (n./v.); host (n./v.),,,,,
4,C2,氣候,globe,/glob/,(n.) 地球；地球儀；球狀物,Students learn about different countries by spinning the globe.,學生們透過轉動地球儀來學習不同的國家。,,,,,,名詞,名詞: 可數；複數: globes,,earth (n.); world (n.); planet (n.),space (n.); void (n.),robe (n.); probe (n./v.),,,,,
